name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Ariane Fäscher;Q108755876;http://commons.wikimedia.org/wiki/Special:FilePath/Ariane%20F%C3%A4scher%20%282021%29.jpg;FALSCH;;arianefaescher;;WAHR
Johannes Arlt;Q108717287;;FALSCH;;arlt_johannes;;WAHR
Armand Zorn;Q108708654;http://commons.wikimedia.org/wiki/Special:FilePath/Armand%20Zorn%20%C2%A9%20Peter%20J%C3%BClich%20%28cropped%29.jpg;FALSCH;;ArmandZorn;;WAHR
Armin Grau;Q108756255;;FALSCH;;ArminGrau;;WAHR
Armin Laschet;Q78205;http://commons.wikimedia.org/wiki/Special:FilePath/2021-09-12%20Politik%2C%20TV-Triell%20Bundestagswahl%202021%201DX%203743%20by%20Stepro%20%28cropped%29.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Armin%20Laschet%202021%20%28cropped%29.jpg;FALSCH;;ArminLaschet;;WAHR
Armin Schwarz;Q688234;http://commons.wikimedia.org/wiki/Special:FilePath/2016-02-04%20Armin%20Schwarz%20-%20MdL%20Hessen%20-%203511-2.jpg;WAHR;https://pbs.twimg.com/profile_images/1488198697993265163/GYjZ294-_normal.jpg;ArminSchwarz;Bundestagsabgeordneter im Wahlkreis 167 Waldeck;WAHR
Ates Gürpinar;Q54821874;http://commons.wikimedia.org/wiki/Special:FilePath/Ates%20G%C3%BCrpinar%206917.jpg;FALSCH;;AtesGuerpinar;;WAHR
Ann-Veruschka Jurisch;Q108756812;http://commons.wikimedia.org/wiki/Special:FilePath/Ann%20-Veruschka%20Jurisch%20%282021%29.jpg;FALSCH;;avjurisch;;WAHR
Awet Tesfaiesus;Q108177929;http://commons.wikimedia.org/wiki/Special:FilePath/Awet%20Tesfaiesus%20%2851887474204%29%20%28cropped%29.jpg;FALSCH;;AwetTesfaiesus;;WAHR
Annette Widmann-Mauz;Q566722;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-14%20Annette%20Widmann-Mauz%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%932.jpg;FALSCH;;AWidmannMauz;;WAHR
